Tuthilltown Gristmill;Ulster;06/14/1982;90NR01060;-74.1789;41.6843271513 
Fort Tryon Park And The Cloisters;New York;12/19/1978;90NR00947;-73.9321;40.8623481364 
Planting Fields Arboretum;Nassau;01/25/1979;90NR01949;-73.5572;40.8619160063 
Market Street Historic District;St. Lawrence;11/16/1979;90NR02575;-74.987;44.6696682577 
Alcove Historic District;Albany;07/24/1980;90NR02765;-73.926;42.4693353744 
Boonville Historic District;Oneida;11/16/1979;90NR02076;-75.3378;43.4845529235 
East Avenue Historic District;Monroe;04/17/1979;90NR01468;-77.5802;43.1513948689 
Waterville Triangle Historic District;Oneida;04/04/1978;90NR02082;-75.3783;42.930654835 
Albany Rural Cemetery;Albany;10/25/1979;90NR02835;-73.7339;42.7078635483 
Poughkeepsie Railroad Bridge;Dutchess;02/23/1979;90NR00370;-73.9408;41.7106498985 
Dodge, Lillian Sefton, Estate;Nassau;07/22/1979;90NR01952;-73.5583;40.8793332205 
West Stockholm Historic District;St. Lawrence;11/20/1979;90NR02561;-74.901;44.7133485322 
Horseheads 1855 Extension Historic District;Chemung;07/30/1980;90NR00147;-76.8215;42.1629244737 
Wiswall, Oliver, House;Columbia;09/04/1980;90NR00231;-73.8092;42.2457323443 
Historic Track;Orange;10/15/1966;90NR02337;-74.3186;41.4021816413 
Cooperstown Historic District;Otsego;11/18/1980;90NR02190;-74.9262;42.7027129982 
DeRham Farm;Putnam;03/28/1980;90NR02362;-73.9343;41.4058315514 
General Electric Realty Plot;Schenectady;11/18/1980;90NR02660;-73.9202;42.816950569 
South Otselic Historic District;Chenango;09/08/1983;90NR00155;-75.782;42.6471943133 
Carroll Gardens Historic District;Kings;09/26/1983;90NR01316;-73.9936;40.6801293982 
Hamilton Heights Historic District;New York;09/30/1983;90NR00859;-73.9473;40.8231056447 
IRT Broadway Line Viaduct;New York;09/15/1983;90NR00846;-73.9582;40.8158656536 
Hudson Falls Historic District;Washington;09/15/1983;90NR02751;-73.5843;43.3011604739 
Katonah Village Historic District;Westchester;09/15/1983;90NR02427;-73.6857;41.2578313683 
Near Westside Historic District;Chemung;12/22/1983;90NR00145;-76.8162;42.0866399413 
Bouwerie;Columbia;10/07/1983;90NR00222;-73.8129;42.0899068508 
Cincinnatus Historic District;Cortland;09/07/1984;90NR00261;-75.9025;42.5425663756 
Andes Historic District;Delaware;06/28/1984;90NR00285;-74.7806;42.1900329916 
Fort Greene Historic District;Kings;09/26/1983;90NR01318;-73.9736;40.6889735654 
Warwick Village Historic District;Orange;09/07/1984;90NR02341;-74.3567;41.2594507903 
Fort Tilden Historic District;Queens;04/20/1984;90NR01571;-73.8938;40.5609037891 
Greenport Village Historic District;Suffolk;09/13/1984;90NR01922;-72.3625;41.1067821685 
Belcher Family Homestead and Farm;Tioga;07/02/1984;90NR02227;-76.1879;42.2840464129 
Hawes Homestead;Schenectady;10/11/1984;90NR02627;-74.2102;42.7931589607 
Jenkins Octagon House;Schenectady;10/11/1984;90NR02629;-74.1833;42.7590477326 
Macomber Stone House;Schenectady;10/11/1984;90NR02636;-74.214;42.7216392589 
Arbor Hill Historic District;Albany;09/29/1984;90NR02805;-73.7521;42.6576803443 
O'Kane Market and O'Kane Building;Monroe;09/12/1985;90NR01480;-77.626;43.1430918722 
Chestnut Street Historic District;Ulster;09/19/1985;90NR01104;-73.9887;41.9239317196 
Chevalier, Xavier, House;Jefferson;09/27/1985;90NR01120;-76.2437;44.160227678 
Docteur, Joseph, House;Jefferson;09/27/1985;90NR01123;-76.235;44.1188326624 
Halsey Estate-Tallwood;Suffolk;09/26/1985;90NR01821;-73.4306;40.82605635 
Goose Hill Road Historic District;Suffolk;09/26/1985;90NR01820;-73.4527;40.8782931093 
Cazenovia Village Historic District;Madison;06/19/1986;90NR01444;-75.859;42.9268989247 
Cedarmere-Clayton Estates Historic District;Nassau;09/29/1986;90NR01956;-73.6399;40.8105541948 
Wickapogue Road Historic District;Suffolk;10/02/1986;90NR01919;-72.3665;40.8867666509 
Echo Camp;Hamilton;11/07/1986;90NR00580;-74.6352;43.8241020908 
Progue House;Dutchess;07/09/1987;90NR00345;-73.8795;41.8893899328 
Marquardt Farm;Dutchess;07/09/1987;90NR00339;-73.8677;41.8859682097 
Traver, J.E., Farm;Dutchess;07/09/1987;90NR00357;-73.8786;41.9262734673 
Grasmere;Dutchess;07/09/1987;90NR00334;-73.9115;41.913562512 
Barron, Thomas, House;Ontario;10/06/1988;90NR01985;-77.0339;42.8606359352 
East Hill Historic District;Tompkins;08/14/1986;90NR02264;-76.4903;42.4403835688 
Vanderbilt, William K., Estate Eagle's Nest;Suffolk;09/26/1985;90NR01852;-73.3683;40.9053147054 
Remp, Michael, House;Suffolk;09/26/1985;90NR01839;-73.3528;40.8468692922 
Merestead - Sloane Estate;Westchester;09/27/1984;90NR02428;-73.7043;41.1784245473 
Southampton Village Historic District;Suffolk;04/25/1988;90NR01920;-72.3959;40.8774648735 
Ocean Parkway;Kings;09/08/1983;90NR01303;-73.9688;40.6108303642 
Eastern Parkway;Kings;09/26/1983;90NR01317;-73.9464;40.6700638868 
Canandaigua Historic District;Ontario;04/26/1984;90NR01998;-77.2821;42.8916044043 
Cobleskill Historic District;Schoharie;09/18/1978;90NR02684;-74.4848;42.6770966013 
Fort Ticonderoga;Essex;10/15/1966;90NR00472;-73.3948;43.8356513428 
Fort Ticonderoga;Essex;10/15/1966;90NR00472;-73.4209;43.8541410421 
Abell Farmhouse and Barn;Madison;11/02/1987;90NR01403;-75.8253;42.9023629102 
Sands, Robert, Estate;Dutchess;02/24/1975;90NR00325;-73.8765;41.9352765481 
Cambridge Historic District;Washington;11/15/1978;90NR02759;-73.3817;43.0267722705 
Union Avenue Historic District;Saratoga;04/04/1978;90NR02598;-73.7639;43.0724734081 
